SIZE,error_rate,Average_Error,Acceptance_Probability,HDP,MRED,NMED
8,6.03,31165.797,93.966,1.125,3.117,3.115
16,11.67,31142.018,91.216,1.299,3.114,3.109
32,21.86,31046.478,91.230,1.380,3.105,3.100
