SIZE,error_rate,Average_Error,Acceptance_Probability,HDP,MRED,NMED
8,0.00,0.000,100.000,0.000,0.000,0.000
16,3.09,169.531,96.911,0.385,0.017,0.012
32,6.13,0.654,99.999,0.389,0.000,0.000
64,11.85,0.000,100.000,0.387,0.000,0.000
128,22.42,0.000,100.000,0.389,0.000,0.000
256,39.76,0.000,100.000,0.389,0.000,0.000
