SIZE,8,16,32,64,128,256
error_rate,0.00,3.09,6.13,11.85,22.42,39.76
Average_Error,0.000,169.531,0.654,0.000,0.000,0.000
Acceptance_Probability,100.000,96.911,99.999,100.000,100.000,100.000
HDP,0.000,0.385,0.389,0.387,0.389,0.389
MRED,0.000,0.017,0.000,0.000,0.000,0.000
NMED,0.000,0.012,0.000,0.000,0.000,0.000
